medcodeid	term_medcode
3389691000006113	Formation of arteriovenous fistula by external cannula for renal dialysis
6665631000006113	Hemodialysis-associated secondary amyloidosis of skin
6665621000006110	Haemodialysis-associated secondary amyloidosis of skin
6712491000006112	Creation of upper extremity arteriovenous fistula
6712481000006114	Creation of upper limb arteriovenous fistula
6713671000006115	Creation of lower limb arteriovenous fistula
6713681000006117	Creation of lower extremity arteriovenous fistula
5307351000006112	AV fistula recirculation
5307361000006114	Arteriovenous fistula recirculation
7097941000006112	Dependence on dialysis due to end stage renal disease
7096531000006112	Dependence on hemodialysis due to end stage renal disease
7096521000006114	Dependence on haemodialysis due to end stage renal disease
7171101000006117	Fluoroscopic PTA of dialysis fistula
7171121000006110	PTA of dialysis fistula
7181841000006115	Fluoroscopic percutaneous transluminal cutting balloon angioplasty of dialysis fistula
7181861000006116	Cutting balloon PTA of dialysis fistula
7181851000006118	Percutaneous transluminal cutting balloon angioplasty of dialysis fistula using fluoroscopic guidance
7141651000006111	Fluoroscopy guided percutaneous mechanical thrombectomy of dialysis fistula
7141671000006118	Fluoroscopic guidance for percutaneous mechanical thrombectomy of dialysis fistula
7140271000006110	Percutaneous embolization of dialysis fistula using fluoroscopic guidance
7140281000006113	Fluoroscopic guidance for percutaneous embolisation of dialysis fistula
7140261000006115	Percutaneous embolisation of dialysis fistula using fluoroscopic guidance
7140251000006117	Fluoroscopy guided percutaneous embolisation of dialysis fistula
7133991000006114	Fluoroscopic guidance for percutaneous thrombolysis of dialysis fistula
7133981000006111	Percutaneous thrombolysis of dialysis fistula using fluoroscopic guidance
7133971000006113	Fluoroscopy guided percutaneous thrombolysis of dialysis fistula
7171111000006119	Percutaneous transluminal angioplasty of dialysis fistula using fluoroscopic guidance
7137951000006113	Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent
7140291000006111	Fluoroscopy guided percutaneous aspiration thrombectomy of dialysis fistula
7140301000006112	Percutaneous aspiration thrombectomy of dialysis fistula using fluoroscopic guidance
7140311000006110	Fluoroscopic guidance for percutaneous aspiration thrombectomy of dialysis fistula
