MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
123962018	67	H27y0	H27y000	Influenza with encephalopathy	74644004	123962018		32
125510013	40800	H20	H20..00	Viral pneumonia	75570004	125510013		32
125540010	21	A321	A321.00	Nasopharyngeal diphtheria	75589004	125540010		32
128622017	684	F5103	F510300	Acute sanguinous otitis media	77478005	503588013		32
128905016	9	A1220	A122000	Isolated tracheal tuberculosis	77668003	128905016		32
129311019	864	H013	H013.00	Acute sphenoidal sinusitis	77919000	129311019		32
130650014	38030	H131-1	H131.11	Frontal sinusitis	78737005	130650014		32
130846016	12230	F512-99	F512.99	Chronic mucoid otitis media	78868004	883701000006117		32
130848015	358226	F512-1	F512.11	Glue ear	78868004	130848015		32
130901018	5451	Q310	Q310.00	Congenital pneumonia	78895009	130901018		32
131338019	177	F5022	F502200	Acute chemical otitis externa	79150005	131338019		32
132731014	331	A116	A116.00	Tuberculous pneumonia	80003002	132731014		32
132741012	17	A1221	A122100	Isolated bronchial tuberculosis	80010008	132741012		32
134668017	299	A730	A730.00	Ornithosis with pneumonia	81164001	134668017		32
135302019	2888	F511-99	F511.99	Chronic serous otitis media	81564005	883691000006117		32
136463019	868666	H00-1	H00..11	Common cold	82272006	136463019		32
136470019	714773	H00	H00..00	Acute nasopharyngitis	82272006	136470019		32
136765013	190	M0002	M000200	Carbuncle of nasal septum	82454002	136765013		32
138105010	1205	H161	H161.00	Chronic laryngotracheitis	83271005	138105010		32
139979010	13	H3111	H311100	Fetid chronic bronchitis	84409004	506053014		32
140751018	2498	H1y22	H1y2200	Parapharyngeal abscess	84889008	140751018		32
141055011	616	A3401	A340100	Streptococcal laryngitis	85083002	141055011		32
141587016	5	H510B	H510B00	Streptococcal pleurisy	85420008	141587016		32
141595017	467	H511	H511.00	Bacterial pleurisy with effusion	85426002	141595017		32
142425010	41178	H301	H301.00	Laryngotracheobronchitis	85915003	142425010		32
144257010	2829164	F501	F501.00	Infective otitis externa	86981007	144257010		32
145932018	22	AB30	AB30.00	Primary pulmonary coccidioidomycosis	88036000	145932018		32
146480018	93688	H130-2	H130.12	Maxillary sinusitis	88348008	146480018		32
147320013	934	H13y0	H13y000	Chronic pansinusitis	88850006	147320013		32
148750016	1635	F541	F541.00	Chronic myringitis without otitis media	89723004	148752012		32
149374011	1135	A114	A114.00	Tuberculous fibrosis of lung	90117007	149374011		32
149482010	2665512	H03-2	H03..12	Tonsillitis	90176007	149482010		32
150766011	54588	H140	H140.00	Chronic tonsillitis	90979004	150766011		32
150861013	177497	H011	H011.00	Acute frontal sinusitis	91038008	150861013		32
155682018	3222	F501A	F501A00	Malignant otitis externa	94146005	155682018		32
179027016	131	A54x2	A54x200	Herpes simplex otitis externa	111856000	179027016		32
179040014	13	A78B	A78B.00	Hantavirus pulmonary syndrome	120639003	179040014		32
195367012	12	A221	A221.00	Pulmonary anthrax	11389007	195367012		32
239551014	131821	A11	A11..00	Pulmonary tuberculosis	154283005	239551014		32
255620011	20963	2D64	2D64.00	O/E - purulent ear discharge	164215009	255620011		27
255676015	51072	2DB6	2DB6.00	O/E - follicular tonsillitis	164256007	255676015		27
255684016	11155	2DC2	2DC2.00	O/E - granular pharyngitis	164260005	255684016		27
285100019	3230	H3121	H312100	Emphysematous bronchitis	185086009	285100019		32
285104011	20094	H312	H312.00	Obstructive chronic bronchitis	185086009	285100019		32
286214019	103	A101	A101.00	Tuberculous pleurisy in primary progressive tuberculosis	186172004	286214019		32
286217014	303	A110	A110.00	Infiltrative lung tuberculosis	186175002	286217014		32
286219012	976	A112	A112.00	Tuberculosis of lung with cavitation	186177005	286219012		32
286220018	372	A113	A113.00	Tuberculosis of bronchus	186178000	286220018		32
286221019	1786	A11y	A11y.00	Other specified pulmonary tuberculosis	154283005	239551014		32
286222014	5991	A11z	A11z.00	Pulmonary tuberculosis NOS	154283005	239551014		32
286223016	435	A12	A12..00	Other respiratory tuberculosis	154283005	239551014		32
286224010	938	A1200	A120000	Tuberculosis of pleura	186182003	286224010		32
286225011	597	A120	A120.00	Tuberculous pleurisy	186182003	286225011		32
286230010	128	A120z	A120z00	Tuberculous pleurisy NOS	186182003	286224010		32
286232019	342	A122	A122.00	Isolated tracheobronchial tuberculosis	700273003	2990051010		32
286235017	14	A122z	A122z00	Isolated tracheal or bronchial tuberculosis NOS	700273003	2990051010		32
286238015	58	A1241	A124100	Tuberculosis of lung, confirmed by culture only	186194007	286238015		32
286239011	42	A1242	A124200	Tuberculosis of lung, confirmed histologically	186195008	286239011		32
286242017	91	A1243	A124300	Tuberculosis of lung, confirmed by unspecified means	154283005	239551014		32
286252018	99	A12y	A12y.00	Other specified respiratory tuberculosis	154283005	239551014		32
286257012	62	A12yz	A12yz00	Other specified respiratory tuberculosis NOS	154283005	239551014		32
286323019	83	A174	A174.00	Tuberculosis of ear	186269001	286323019		32
286339014	28	A205	A205.00	Pneumonic plague	38976008	65377015		32
286448015	67	A33y	A33y.00	Whooping cough - other specified organism	27836007	46586010		32
286451010	273	A33yz	A33yz00	Other whooping cough NOS	27836007	46586010		32
286452015	4108	A33z	A33z.00	Whooping cough NOS	27836007	46589015		32
286457014	1386	A340z	A340z00	Streptococcal sore throat NOS	43878008	73157016		32
286906018	4646	A740	A740.00	Herpangina	186659004	286906018		32
286934013	1111	A772	A772.00	Viral pharyngoconjunctivitis	186675001	286934013		32
287596012	11	AB300	AB30000	Acute pulmonary coccidioidomycosis	187027001	287596012		32
287618016	7	AB405	AB40500	Histoplasma capsulatum with pneumonia	38699009	64397019		32
287630010	3	AB415	AB41500	Histoplasma duboisii with pneumonia	187052004	287630010		32
287632019	21	AB42	AB42.00	Pulmonary histoplasmosis	187054003	287632019		32
287639011	5	AB4z5	AB4z500	Histoplasmosis with pneumonia	442094008	2819039014		32
287649014	15	AB501	AB50100	Primary pulmonary blastomycosis	187066009	287649014		32
287652018	3	AB504	AB50400	Acute pulmonary blastomycosis	187069002	287652018		32
287674012	126	AB631	AB63100	Tonsillar aspergillosis	187084006	287674012		32
287703011	31	AB671	AB67100	Rhinocerebral mucormycosis	187100003	287703011		32
287864011	35	AD04	AD04.00	Toxoplasma pneumonitis	187196002	287864011		32
287914017	4	AD403	AD40300	Nasopharyngeal myiasis	187222000	287914017		32
288039014	9639	Ayu39	Ayu3900	Pertussis	27836007	46586010		32
288040011	321	Ayu3A	Ayu3A00	[X]Whooping cough, unspecified	27836007	46586010		32
288237018	2	AyuET	AyuET00	[X]Pulmonary histoplasmosis capsulati, unspecified	187054003	287632019		32
288238011	760	AyuEU	AyuEU00	[X]Other pulmonary aspergillosis	6042001	11040014		32
296787017	33	F0078	F007800	Meningitis due to pertussis	192650000	296787017		32
298945018	96536	F5010	F501000	Unspecified infective otitis externa	86981007	144257010		32
298951011	2	F5013-2	F501312	Tank ear	30250000	50629012		32
298952016	10	F5013-1	F501311	Beach ear	30250000	50629012		32
298966014	747	F501B	F501B00	Chronic otitis externa due to aspergillosis	194207002	298966014		32
298967017	159	F501C	F501C00	Chronic otitis externa due to moniliasis	194208007	298967017		32
298968010	1738	F501D	F501D00	Chronic mycotic otitis externa	111898002	179051014		32
