MedCodeId	Observations	Term
3512304018	NA	Dementia following injury caused by exposure to ionizing radiation
3512306016	NA	Postradiation dementia
3512303012	NA	Dementia following injury caused by exposure to ionising radiation
7955101000006119	NA	Dementia due to primary malignant neoplasm of brain
7955121000006112	NA	Dementia due to chronic subdural hematoma
7955151000006115	NA	Dementia co-occurrent and due to progressive multifocal leukoencephalopathy
7955141000006117	NA	Dementia with progressive multifocal leukoencephalopathy
7955171000006113	NA	Dementia co-occurrent and due to Down syndrome
2511001000006119	NA	Transmissible virus dementia
2510971000006116	NA	Subacute spongiform encephalopathy
2510991000006115	NA	JCD - Jakob-Creutzfeldt disease
2511011000006116	NA	Creutzfeldt Jakob disease
3802661000006113	NA	DLBD - Diffuse Lewy body disease
3802631000006116	NA	SDLT - Senile dementia of the Lewy body type
3802681000006115	NA	CLBD - Cortical Lewy body disease
8024631000006118	NA	Altered behavior co-occurrent and due to Pick's disease
8024661000006110	NA	Altered behavior in dementia due to Huntington chorea
8024651000006113	NA	Altered behavior in Huntington's dementia
8024681000006117	NA	Dementia due to multiple sclerosis with altered behavior
8024701000006119	NA	Epileptic dementia with behavioral disturbance
3849671000006119	NA	Juvenile general paresis
3849661000006114	NA	Dementia paralytica juvenilis
3894361000006113	NA	Argentophilic neuronal inclusion
3894371000006118	NA	Alzheimer's neurofibrillary degeneration
3894381000006115	NA	Alzheimer's neurofibrillary change
3894351000006111	NA	Neurofibrillary tangle
3894341000006114	NA	Neurofibrillary degeneration
3938681000006119	NA	Jakob-Creutzfeldt agent
3938691000006116	NA	Creutzfeldt-Jakob disease agent
3964601000006113	NA	Subcortical leukoencephalopathy
3964611000006111	NA	Binswanger's dementia
3964621000006115	NA	Encephalitis subcorticalis chronica
2649081000006113	NA	Dialysis encephalopathy
2649071000006110	NA	Dialysis encephalopathy syndrome
8030811000006115	NA	Altered behavior in Alzheimer disease
8030821000006111	NA	Altered behavior in Alzheimers disease
905791000006115	645	Alzheimer's disease
914921000006117	1937	Vascular dementia
914931000006119	649	Dementia with Lewy bodies
914941000006112	11049	Dementia
914951000006114	17265	Dementia in Alzheimer's disease
939491000006118	2375	Dementia
1576281000006119	111	Cause of Death- Alzheimer'S Disease
1823871000006112	414	Dementia confirmed
1949621000006118	12	Dementia stage at diagnosis
1949631000006115	1259	Dementia stage at diagnosis - early (mild)
1949641000006113	986	Dementia stage at diagnosis - mid (moderate)
1949651000006110	595	Dementia stage at diagnosis - late (severe)
1949661000006112	8	Dementia stage at diagnosis - undetermined
1949671000006117	13	Dementia stage at diagnosis - not known
1971401000006111	66	Dementia in Alzheimer's disease with early onset, without additional symptoms
1971541000006114	5	Dementia in Alzheimer's disease with early onset, other symptoms, predominantly delusional
1971771000006112	2	Dementia in Alzheimer's disease with early onset, other symptoms, predominantly hallucinatory
1972021000006119	1221	Unspecified dementia, without additional symptoms
1972041000006114	30	Unspecified dementia, other symptoms, predominantly delusional
1972061000006113	23	Unspecified dementia, other symptoms, predominantly hallucinatory
1972071000006118	12	Unspecified dementia, other symptoms, predominantly depressive
1972081000006115	4593	Unspecified dementia, other mixed symptoms
1972131000006115	9	Dementia in Alzheimer's disease with early onset, other symptoms, predominantly depressive
1972141000006113	261	Dementia in Alzheimer's disease with early onset, other mixed symptoms
1972171000006117	113	Dementia in Alzheimer's disease with late onset, without additional symptoms
1972181000006119	9	Dementia in Alzheimer's disease with late onset, other symptoms, predominantly delusional
1972191000006116	2	Dementia in Alzheimer's disease with late onset, other symptoms, predominantly hallucinatory
1972201000006118	18	Dementia in Alzheimer's disease with late onset, other symptoms, predominantly depressive
1972211000006115	510	Dementia in Alzheimer's disease with late onset, other mixed symptoms
1972231000006114	1467	Dementia in Alzheimer's dis, atypical or mixed type, without additional symptoms
1972251000006119	55	Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional
1972291000006113	112	Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory
1972311000006112	45	Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive
1972341000006111	6789	Dementia in Alzheimer's dis, atypical or mixed type, other mixed symptoms
1972371000006115	175	Dementia in Alzheimer's disease, unspecified, without additional symptoms
1972401000006117	14	Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly delusional
1972451000006118	7	Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive
1972471000006111	4548	Dementia in Alzheimer's disease, unspecified, other mixed symptoms
1972481000006114	15	Vascular dementia of acute onset, without additional symptoms
1972501000006116	5	Vascular dementia of acute onset, other symptoms, predominantly delusional
1972571000006110	18	Vascular dementia of acute onset, other mixed symptoms
1972661000006119	2	Multi-infarct dementia, other symptoms, predominantly depressive
1972681000006112	76	Multi-infarct dementia, other mixed symptoms
1972711000006113	4	Subcortical vascular dementia, without additional symptoms
1972731000006119	1	Subcortical vascular dementia, other symptoms, predominantly delusional
1972751000006114	14	Subcortical vascular dementia, other symptoms, predominantly hallucinatory
1972771000006116	5	Subcortical vascular dementia, other symptoms, predominantly depressive
1972791000006115	21	Subcortical vascular dementia, other mixed symptoms
1972821000006112	20	Mixed cortical and subcortical vascular dementia, without additional symptoms
1972831000006110	5	Mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional
1972871000006113	3	Mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory
1972911000006111	1	Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive
1972931000006117	93	Mixed cortical and subcortical vascular dementia, other mixed symptoms
1973221000006118	10	Other vascular dementia, without additional symptoms
1973271000006117	6	Other vascular dementia, other symptoms, predominantly delusional
1973341000006118	5	Other vascular dementia, other symptoms, predominantly hallucinatory
1973381000006112	2	Other vascular dementia, other symptoms, predominantly depressive
1973401000006112	463	Other vascular dementia, other mixed symptoms
1973461000006113	113	Vascular dementia, unspecified, without additional symptoms
1973501000006113	1	Vascular dementia, unspecified, other symptoms, predominantly delusional
1973531000006117	5	Vascular dementia, unspecified, other symptoms, predominantly hallucinatory
1973551000006112	7	Vascular dementia, unspecified, other symptoms, predominantly depressive
1976831000006111	819	Vascular dementia, unspecified, other mixed symptoms
2729731000000113	1	Presenile dementia with psychosis
2729791000000114	27	Predominantly cortical vascular dementia
5005691000006117	1	Non-Alzheimer's progressive dysphasia
7834071000006116	1	Non-amnestic Alzheimer disease
14464361000006116	29	Autosomal dominant Alzheimer disease due to mutation of presenilin 1
14574821000006116	2	Dementia due to cobalamin deficiency
14805251000006118	4	Behavioural disturbance due to multi-infarct dementia
15035271000006110	2	Alzheimer disease with psychosis
15038931000006114	1	Dementia due to hypercalcaemia
15039111000006110	3	Dementia due to cerebral vasculitis
15039141000006114	7	Dementia due to cerebral amyloid angiopathy
15041741000006112	2	Dementia due to multiple system atrophy
