MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
888991000006118	4666	M030-99	M030.99	Cellulitis/abscess - face	200645004	888991000006118		32
889001000006118	725	M031-99	M031.99	Cellulitis/abscess - neck	267779003	889001000006118		32
889011000006115	1802	M032-99	M032.99	Cellulitis/abscess - trunk	200655000	889011000006115		32
889021000006111	3026	M033-99	M033.99	Cellulitis/abscess - arm	200665006	889021000006111		32
889031000006114	1855	M034-99	M034.99	Cellulitis -hand -excl. finger	267780000	889031000006114		32
889041000006116	1325	M035-99	M035.99	Cellulitis/abscess - buttock	200676005	889041000006116		32
889051000006119	36515	M036-99	M036.99	Cellulitis - leg - excl. foot	267782008	889051000006119		32
889061000006117	7815	M037-99	M037.99	Cellulitis - foot - excl. toe	267783003	889061000006117		32
913591000006110	139	C10E5-2	C10E512	Skin ulcer associated with diabetes mellitus	422183001	2623058011		32
2511181000006112	19	^ESCTNO251118		Nonvenomous insect bite of foot with infection	801006	2403012		32
2639931000006110	3	^ESCTCE263993		Cellulitis of oral soft tissues	8771003	15467019		32
2652371000006119	6	^ESCTCE265237		Cellulitis of hip	9557000	16722018		31
2669591000006110	3	^ESCTNO266959		Nonvenomous insect bite of face with infection	10662001	18529018		32
2702251000006116	1	^ESCTCE270225		Cellulitis of skin with lymphangitis	12713001	21827018		31
2710891000006112	39	^ESCTCE271089		Cellulitis of knee	13301002	22757019		31
2717021000006116	20	^ESCTCE271702		Cellulitis of forearm	13680009	23350013		31
2734991000006116	9	^ESCTPE273499		Penile cellulitis	14812002	25169013		32
2738131000006112	4	^ESCTNO273813		Nonvenomous insect bite of breast with infection	15034009	25525014		32
2775971000006116	6	^ESCTNO277597		Nonvenomous insect bite of toe with infection	17384006	29394010		32
2781431000006116	10	^ESCTEC278143		Ecthyma gangrenosum	17732003	29970017		31
2803281000006119	14	^ESCTNO280328		Nonvenomous insect bite of trunk with infection	19108007	32206013		32
2869341000006117	1	^ESCTCE286934		Cellulitis of pharynx	23166004	38903015		32
2911521000006110	1	^ESCTNO291152		Nonvenomous insect bite of groin with infection	25726008	43118015		32
2942141000006113	38	^ESCTCE294214		Cellulitis of finger	27561001	46127011		31
2945721000006113	4	^ESCTCE294572		Cellulitis of forehead	27767004	46482010		31
2983901000006111	4	^ESCTDE298390		Debridement of sacral pressure ulcer	30063001	2987104010		31
3097571000006117	2	^ESCTCE309757		Cellulitis of external nose	37098000	61891010		31
3110231000006114	3	^ESCTNO311023		Nonvenomous insect bite of neck with infection	37887002	63208011		32
3114871000006119	38	^ESCTNO311487		Nonvenomous insect bite of ankle with infection	38189003	63906015		32
3115441000006111	55	^ESCTCE311544		Cellulitis of upper arm	38217004	63961010		31
3176291000006115	7	^ESCTNO317629		Nonvenomous insect bite of back with infection	41958008	70020014		32
3177481000006117	2	^ESCTNO317748		Nonvenomous insect bite of abdominal wall with infection	42032008	70164015		32
3214541000006111	21	^ESCTNO321454		Nonvenomous insect bite of hand with infection	44352004	73981012		32
3215731000006110	3	^ESCTCE321573		Cellulitis of buttock	44428005	74090012		31
3215741000006117	2	^ESCTCE321574		Cellulitis of gluteal region	44428005	74091011		31
3227061000006115	287	^ESCTAC322706		Acne necrotica miliaris	45072005	75167012		32
3227071000006110	4	^ESCTTY322707		Tycoon's scalp	45072005	494095013		32
3227091000006111	29	^ESCTPR322709		Propionibacterium acnes folliculitis of scalp	45072005	1788023019		32
3241491000006112	19	^ESCTNO324149		Nonvenomous insect bite of upper arm with infection	45915002	76563012		32
3297081000006118	70	^ESCTFO329708		Folliculitis keloidalis nuchae	49265008	82074015		31
3297121000006116	7	^ESCTFO329712		Folliculitis keloidalis	49265008	1230695012		31
3306251000006114	4	^ESCTCE330625		Cellulitis of shoulder	49810002	82970010		31
3311781000006117	7	^ESCTNO331178		Nonvenomous insect bite of buttock with infection	50124004	83501011		32
3345901000006115	35	^ESCTCE334590		Cellulitis of scalp	52190008	86865019		31
3350891000006114	11	^ESCTNE335089		Necrotizing fasciitis	52486002	87346014		32
3350911000006111	5	^ESCTNE335091		Necrotising myositis	52486002	496326011		32
3350921000006115	3	^ESCTNE335092		Necrotising cellulitis	52486002	1216712015		32
3354561000006112	8	^ESCTNO335456		Nonvenomous insect bite of finger with infection	52705001	87707014		32
3365991000006116	52	^ESCTBO336599		Bockhart impetigo	53396004	88783013		31
3366011000006117	2	^ESCTST336601		Staphylococcus aureus superficial folliculitis	53396004	1231215012		31
3415651000006114	37	^ESCTCE341565		Cellulitis of heel	56351000	93708018		31
3420191000006112	1	^ESCTCE342019		Cellulitis of umbilicus	56644003	94197018		31
3424001000006113	4	^ESCTNO342400		Nonvenomous insect bite of chest wall with infection	56892000	94613019		32
3465441000006114	21	^ESCTNO346544		Nonvenomous insect bite of thigh with infection	59443003	98741018		32
3466941000006110	5	^ESCTCE346694		Cellulitis of chest wall	59532009	98880015		31
3472571000006118	87	^ESCTCE347257		Cellulitis of abdominal wall	59883002	99480019		31
3479291000006114	54	^ESCTNO347929		Nonvenomous insect bite of forearm with infection	60298004	100172011		32
3483321000006110	1	^ESCTCE348332		Cellulitis of external cheek	60540006	100580010		31
3587991000006111	1	^ESCTCE358799		Cellulitis of flank	66918004	111147014		31
3603831000006119	18	^ESCTNO360383		Nonvenomous insect bite of elbow with infection	67862004	112724019		32
3643171000006119	2	^ESCTNO364317		Nonvenomous insect bite of scalp with infection	70294003	116759016		32
3661361000006119	19	^ESCTCE366136		Cellulitis of wrist	71392009	118594015		31
3745581000006116	1	^ESCTNO374558		Nonvenomous insect bite of hip with infection	76584003	127178019		32
3752951000006114	207	^ESCTCE375295		Cellulitis of thigh	77054009	127927010		31
3757631000006111	243	^ESCTPE375763		Perifolliculitis capitis abscedens et suffodiens	77333008	128345015		32
3757661000006119	400	^ESCTDI375766		Dissecting cellulitis of scalp	77333008	128348018		32
3935941000006113	17	^ESCTCE393594		Cellulitis of groin	88361008	146503016		31
3979731000006118	2	^ESCTNO397973		Nonvenomous insect bite of wrist with infection	91060006	150898014		32
4054961000006115	3	^ESCTEO405496		Eosinophilic folliculitis	95333004	3034304016		31
4075181000006112	183	^ESCTPE407518		Peritonsillar cellulitis	102453009	165688017		31
4075191000006110	14	^ESCTAC407519		Acute peritonsillitis	102453009	1218823019		31
4161441000006111	14841	^ESCTCE416144		Cellulitis of periorbital region	109245003	173787016		32
4161451000006113	245	^ESCTPE416145		Periorbital cellulitis	109245003	173788014		32
4167221000006112	1	^ESCTDE416722		Dentoalveolar cellulitis	109612009	174238012		31
4406611000006119	3	^ESCTCE440661		Cellulitis of head	128277003	206542018		31
4757841000006115	8	^ESCTPH475784		Phlegmon	190280006	292398015		31
4773721000006110	3	^ESCTPO477372		Postseptal orbital cellulitis	194005002	2872215010		32
4783961000006114	2	^ESCTLU478396		Ludwig angina	196542004	2838071016		32
5027641000006110	26	^ESCTIM502764		Impetigo of eyelid	231802001	347358010		31
5033381000006117	1403	^ESCTCE503338		Cellulitis of pinna	232214001	347928014		32
5120891000006110	50	^ESCTNO512089		Non-bullous impetigo	238374001	357293014		31
5120911000006112	19	^ESCTST512091		Streptococcal impetigo	238375000	357294015		31
5120921000006116	19	^ESCTST512092		Staphylococcal non-bullous impetigo	238376004	357295019		31
5120951000006113	987	^ESCTSC512095		Scalp folliculitis	238378003	357298017		31
5120961000006110	25	^ESCTST512096		Staphylococcal folliculitis of scalp	238379006	357299013		31
5121061000006117	24	^ESCTAC512106		Acute sycosis barbae	238391002	357312018		31
5121141000006117	5	^ESCTNE512114		Necrotising fasciitis of scrotum and perineum	238399000	357322012		31
5121181000006111	5	^ESCTAN512118		Anaerobic cellulitis	238401006	357326010		31
5121251000006111	12	^ESCTST512125		Staphylococcal intertrigo	238410003	357337011		31
5121261000006113	2	^ESCTST512126		Streptococcal intertrigo	238411004	357338018		31
5128141000006112	12	^ESCTWE512814		Wells' syndrome	238931006	358086016		32
5147561000006118	109	^ESCTFA514756		Facial erysipelas	240425002	360149016		31
5147571000006113	1	^ESCTER514757		Erysipelas of face	240425002	360150016		31
5502111000006113	2175	^ESCTSU550211		Superficial folliculitis	267812007	399936013		32
5502121000006117	8	^ESCTFO550212		Follicular impetigo	267812007	399937016		32
5607811000006111	7	^ESCTST560781		Streptococcal cellulitis	278037002	414807015		31
5638861000006118	2	^ESCTFE563886		Female pelvic cellulitis	280486004	418100014		32
5675511000006112	19	^ESCTIN567551		Infected insect bite of head and neck	283346007	421840012		31
5675521000006116	155	^ESCTIN567552		Infected insect bite of upper limb	283347003	421841011		31
5675531000006118	33	^ESCTIN567553		Infected insect bite of dorsum of hand	283348008	421842016		31
5675541000006111	4	^ESCTIN567554		Infected insect bite of palm of hand	283349000	421843014		31
5675551000006113	6	^ESCTIN567555		Infected insect bite of thumb	283350000	421844015		31
5675561000006110	1	^ESCTIN567556		Infected insect bite of pelvic region	283351001	421845019		31
5675581000006117	48	^ESCTIN567558		Infected insect bite of dorsum of foot	283353003	421849013		31
5675591000006119	5	^ESCTIN567559		Infected insect bite of sole of foot	283354009	421850013		31
5721301000006110	20	^ESCTPE572130		Penile cellulitis/abscess/boil	286983008	426484015		32
5721381000006118	7	^ESCTCE572138		Cellulitis of hand excluding finger	287000004	426503014		31
5721391000006115	570	^ESCTCE572139		Cellulitis of leg, excluding foot	287001000	426505019		31
5721401000006118	45	^ESCTCE572140		Cellulitis of leg, except foot	287001000	2476118014		31
5721411000006115	32	^ESCTCE572141		Cellulitis of foot excluding toe	287002007	426506018		31
5897321000006115	280	^ESCTCE589732		Cellulitis of elbow	301710008	443105012		31
5975181000006110	2	^ESCTON597518		On examination - Right foot ulcer	308099008	2670251013		27
5986591000006118	12	^ESCTCE598659		Cellulitis of skin of back	309254003	452622011		31
6020421000006115	75	^ESCTDE602042		Debridement of leg ulcer	312732009	456490019		31
6020431000006117	5062	^ESCTDE602043		Debridement of foot ulcer	312733004	456491015		31
6020951000006118	4713	^ESCTDE602095		Debridement of ulcer	312775003	456535012		31
6046861000006112	1363	^ESCTPR604686		Preseptal cellulitis	314516007	458887011		31
6440711000006111	321	^ESCTCE644071		Cellulitis	385627004	1479831017		31
6475591000006119	5	^ESCTVU647559		Vulval cellulitis	387682007	1481766016		31
6475601000006110	1	^ESCTVU647560		Vulvar cellulitis	387682007	1492212012		31
6546281000006117	2	^ESCTON654628		On examination - Right diabetic foot - ulcerated	394673007	2621545012		27
6617371000006113	13	^ESCTBU661737		Bullous staphylococcal impetigo	399102002	1778562010		31
6618681000006117	480	^ESCTIM661868		Impetigo bullosa	399183005	1778638012		32
6634251000006113	31	^ESCTIN663425		Infective eczema	400079002	2536664015		32
6661511000006117	3	^ESCTIM666151		Impetiginized atopic dermatitis	402201001	1781377019		31
6661521000006113	6	^ESCTIN666152		Infected atopic dermatitis	402201001	1787509012		31
6661921000006119	4	^ESCTIN666192		Infected discoid eczema	402215004	1781382014		31
6672081000006118	2	^ESCTPA667208		P. acnes folliculitis	402922003	1787625011		31
6672111000006112	2	^ESCTER667211		Erysipelas of lower limb	402925001	1782007014		31
6672161000006110	18	^ESCTBA667216		Bacterial cellulitis	402929007	1782010019		31
6672171000006115	4	^ESCTAC667217		Acute bacterial paronychia	402930002	1782011015		31
6688281000006117	1	^ESCTNE668828		Neonatal eosinophilic pustular folliculitis	403845000	1782849015		31
6694021000006118	1	^ESCTFO669402		Follicular occlusion triad - hidradenitis, acne conglobata, dissecting cellulitis of scalp	404175004	1783128011		31
6694031000006115	5	^ESCTFO669403		Follicular occlusion triad	404175004	1788008012		31
6694051000006110	1	^ESCTFO669405		Follicular occlusion tetrad	404176003	1788009016		31
6859231000006111	8105	^ESCTIN685923		Infective eczematoid dermatitis	414492009	2534172017		32
6866781000006116	2	^ESCTON686678		On examination - right chronic diabetic foot ulcer	414906009	2621798013		27
6985411000006117	14	^ESCTDI698541		Diabetic skin ulcer	422183001	2618214017		32
7093251000006114	4	^ESCTIN709325		Infected insect bite of hand	428762009	2692534015		31
7373231000006110	2	^ESCTNO737323		Nonvenomous insect bite of lower leg with infection	449643001	2912542013		31
7373951000006113	1181	^ESCTCE737395		Cellulitis of lower leg	449711005	2912636016		31
7375451000006118	61	^ESCTCE737545		Cellulitis of thumb	449825003	2912782016		31
7376421000006119	1	^ESCTST737642		Streptococcal necrotising fasciitis	449900006	2912793019		31
7480541000006114	1	^ESCTHI748054		History of cellulitis	472962008	2955495016		31
7480591000006117	146	^ESCTHI748059		History of cellulitis of skin	472966006	2955468014		31
7496521000006118	1	^ESCTIN749652		Infected insect bite by site	609337004	2959775015		31
7682141000006117	1	^ESCTDI768214		Diabetic ulcer care	711027007	3047149017		31
7763471000006118	53	^ESCTAC776347		Acute cellulitis	717857009	3311779015		31
7954791000006111	1	^ESCTPE795479		Perianal streptococcal dermatitis	733165000	3498907014		31
7969001000006112	11	^ESCTFO796900		Foot ulcer due to type 2 diabetes mellitus	1521000119100	3013067017		31
8026031000006115	1	^ESCTHE802603		Heel AND/OR midfoot ulcer due to type 2 diabetes mellitus	87451000119102	3013150010		31
8026041000006113	2	^ESCTFO802604		Forefoot ulcer due to type 2 diabetes mellitus	87461000119100	3013415011		31
8026061000006112	1	^ESCTHE802606		Heel AND/OR midfoot ulcer due to type 1 diabetes mellitus	87481000119109	3013126013		31
8034861000006113	2	^ESCTLE803486		Leg ulcer due to type 2 diabetes mellitus	110171000119107	3013967019		31
8040911000006111	2	^ESCTCE804091		Cellulitis of nasal mucous membrane	130021000119100	3040978019		31
8044171000006110	2	^ESCTNE804417		Neuropathic toe ulcer due to type 2 diabetes mellitus	140381000119104	3013650011		32
8044181000006113	3	^ESCTUL804418		Ulcer of toe due to type 2 diabetes mellitus	140391000119101	3013112016		31
8044221000006116	3	^ESCTIS804422		Ischaemic foot ulcer due to type 2 diabetes mellitus	140521000119107	3013655018		31
9313421000006110	1	^ESCTDI931342		Diabetic ulcer of left foot due to diabetes mellitus type 2	10660471000119109	3332232010		31
9313441000006115	6	^ESCTDI931344		Diabetes type 2 with diabetic ulcer of left foot	10660471000119109	3332262016		31
13604831000006115	13	^ESCT1360483		Post-operative wound cellulitis	781192001	3745191011		32
13790061000006119	1217	^ESCT1379006		Neuropathic ulcer of foot due to diabetes mellitus	201251005	3775803010		32
13917091000006117	77	^ESCT1391709		Neuropathic ulcer of heel due to type 2 diabetes mellitus	789569005	3789783017		32
13937301000006115	92	^ESCT1393730		Cellulitis and abscess of hand	838283002	3896373019		32
13951031000006116	2	^ESCT1395103		Injection site cellulitis	860816004	3944256016		31
